m25,Messier 25,IC 4725,–,Open cluster,18h31m45.0s,-19d7m12s,4.6,2.0,Sagittarius,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Messier_object_025.jpg/500px-Messier_object_025.jpg
m26,Messier 26,NGC 6694,–,Open cluster,18h45m15.0s,-9d23m6s,8.0,5.0,Scutum,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Messier_26.jpg/500px-Messier_26.jpg
m27,Messier 27,NGC 6853,Dumbbell Nebula,Planetary nebula,19h59m36.3s,+22d43m18s,7.4,1.334,Vulpecula,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/M27_-_Dumbbell_Nebula.jpg/500px-M27_-_Dumbbell_Nebula.jpg
m28,Messier 28,NGC 6626,–,Globular cluster,18h24m32.9s,-24d52m10s,6.9,17.9,Sagittarius,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Nebulous%2C_but_no_nebula_Messier_28.jpg/500px-Nebulous%2C_but_no_nebula_Messier_28.jpg
m29,Messier 29,NGC 6913,Cooling Tower,Open cluster,20h24m6.0s,+38d29m36s,6.6,7.2,Cygnus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Messier_29.jpg/500px-Messier_29.jpg
m30,Messier 30,NGC 7099,–,Globular cluster,21h40m22.0s,-23d10m43s,6.9,29.4,Capricornus,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Messier_30_Hubble_WikiSky.jpg/500px-Messier_30_Hubble_WikiSky.jpg
m31,Messier 31,NGC 224,Andromeda Galaxy,Galaxy,0h42m44.3s,+41d16m8s,3.4,2540.0,Andromeda,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Andromeda_Galaxy_%28with_h-alpha%29.jpg/500px-Andromeda_Galaxy_%28with_h-alpha%29.jpg
m32,Messier 32,NGC 221,Small Andromeda Galaxy,Galaxy,0h42m41.8s,+40d51m57s,8.1,2490.0,Andromeda,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/M32_Francione_inverted.jpg/200px-M32_Francione_inverted.jpg
m33,Messier 33,NGC 598,Triangulum Pinwheel Galaxy,Galaxy,1h33m51.9s,+30d39m29s,5.7,2725.0,Triangulum,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/VST_snaps_a_very_detailed_view_of_the_Triangulum_Galaxy.jpg/500px-VST_snaps_a_very_detailed_view_of_the_Triangulum_Galaxy.jpg
m34,Messier 34,NGC 1039,–,Open cluster,2h42m5.0s,+42d45m42s,5.2,1.5,Perseus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/M34_2mass_atlas.jpg/500px-M34_2mass_atlas.jpg
m35,Messier 35,NGC 2168,–,Open cluster,6h9m4.0s,+24d21m0s,5.1,2.8,Gemini,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/M35atlas.jpg/500px-M35atlas.jpg
m36,Messier 36,NGC 1960,–,Open cluster,5h36m17.7s,+34d8m27s,6.0,4.1,Auriga,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/M36a.jpg/500px-M36a.jpg
m37,Messier 37,NGC 2099,–,Open cluster,5h52m18.3s,+32d33m11s,5.6,4.511,Auriga,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/M37a.jpg/500px-M37a.jpg
m38,Messier 38,NGC 1912,Starfish Cluster,Open cluster,5h28m43.0s,+35d51m18s,6.4,4.2,Auriga,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/M38_Open_Cluster.jpg/500px-M38_Open_Cluster.jpg
m39,Messier 39,NGC 7092,–,Open cluster,21h31m52.0s,+48d25m30s,4.6,0.8244,Cygnus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/M39atlas.jpg/500px-M39atlas.jpg
m40,Messier 40,–,Winnecke-4,Asterism,12h22m16.2s,+58d5m8s,9.0,0.51,Ursa Major,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Messier_object_40.jpg/500px-Messier_object_40.jpg
m41,Messier 41,NGC 2287,–,Open cluster,6h46m0.0s,-20d45m24s,4.5,2.3,Canis Major,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Messier_041_2MASS.jpg/500px-Messier_041_2MASS.jpg
m42,Messier 42,NGC 1976,Orion Nebula,Emission nebula,5h35m17.1s,-5d23m25s,4.0,1.344,Orion,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Orion_Nebula_-_Hubble_2006_mosaic_18000.jpg/500px-Orion_Nebula_-_Hubble_2006_mosaic_18000.jpg
m43,Messier 43,NGC 1982,De Mairan's Nebula,Emission nebula,5h35m31.3s,-5d16m3s,6.8,1.6,Orion,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/M43_HST.jpg/500px-M43_HST.jpg
m44,Messier 44,NGC 2632,Beehive Cluster Praesepe,Open cluster,8h40m24.0s,+19d40m12s,3.1,0.577,Cancer,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Messier_44_2018.jpg/500px-Messier_44_2018.jpg
m45,Messier 45,–,Pleiades,Open cluster,3h47m0.0s,+24d7m0s,1.6,0.42500000000000004,Taurus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Bob_Star_-_M45_Carranza_Field_%28by%29.jpg/500px-Bob_Star_-_M45_Carranza_Field_%28by%29.jpg
m46,Messier 46,NGC 2437,–,Open cluster,7h41m46.8s,-14d48m36s,6.1,5.4,Puppis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/M46a.jpg/500px-M46a.jpg
m47,Messier 47,NGC 2422,–,Open cluster,7h36m35.0s,-14d28m47s,4.4,1.6,Puppis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/M47a.jpg/500px-M47a.jpg
m48,Messier 48,NGC 2548,–,Open cluster,8h13m43.1s,-5d45m2s,5.8,1.5,Hydra,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/M48a.jpg/500px-M48a.jpg
m49,Messier 49,NGC 4472,–,Galaxy,12h29m46.7s,+8d0m0s,8.4,55900.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Messier_49_Hubble_WikiSky.jpg/500px-Messier_49_Hubble_WikiSky.jpg
m50,Messier 50,NGC 2323,–,Open cluster,7h2m47.8s,-8d22m33s,5.9,3.2,Monoceros,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/M50a.jpg/500px-M50a.jpg
m51,Messier 51,NGC 5194 NGC 5195,Whirlpool Galaxy,Galaxy,13h29m52.6s,+47d11m44s,8.4,23000.0,Canes Venatici,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Messier51_sRGB.jpg/500px-Messier51_sRGB.jpg
m52,Messier 52,NGC 7654,–,Open cluster,23h24m48.0s,+61d36m0s,6.9,5.0,Cassiopeia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/M52atlas.jpg/500px-M52atlas.jpg
m53,Messier 53,NGC 5024,–,Globular cluster,13h12m55.3s,+18d10m11s,7.7,58.0,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Globular_Cluster_M53.jpg/500px-Globular_Cluster_M53.jpg
m54,Messier 54,NGC 6715,–,Globular cluster,18h55m3.3s,-30d28m40s,7.7,87.4,Sagittarius,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Messier54.jpg/500px-Messier54.jpg
m55,Messier 55,NGC 6809,–,Globular cluster,19h39m59.4s,-30d57m42s,6.3,17.6,Sagittarius,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Messier55.jpg/500px-Messier55.jpg
m56,Messier 56,NGC 6779,–,Globular cluster,19h16m35.5s,+30d11m7s,8.4,32.9,Lyra,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/M56-LRGB.jpg/500px-M56-LRGB.jpg
m57,Messier 57,NGC 6720,Ring Nebula,Planetary nebula,18h53m35.1s,+33d1m47s,8.8,2.7,Lyra,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/M57_The_Ring_Nebula.JPG/200px-M57_The_Ring_Nebula.JPG
m58,Messier 58,NGC 4579,–,Galaxy,12h37m43.7s,+11d49m6s,9.7,63000.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/M58s_%28visible%29.jpg/500px-M58s_%28visible%29.jpg
m59,Messier 59,NGC 4621,–,Galaxy,12h42m2.2s,+11d38m50s,9.6,60000.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Messier59_-_HST_-_Potw1921a.jpg/500px-Messier59_-_HST_-_Potw1921a.jpg
m60,Messier 60,NGC 4649,–,Galaxy,12h43m39.8s,+11d33m11s,8.8,55000.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Messier_60_Hubble_WikiSky.jpg/500px-Messier_60_Hubble_WikiSky.jpg
m61,Messier 61,NGC 4303,–,Galaxy,12h21m54.9s,+4d28m22s,9.7,52500.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Messier61_-_ESO_-_Potw1901a.tif/lossy-page1-500px-Messier61_-_ESO_-_Potw1901a.tif.jpg
m62,Messier 62,NGC 6266,–,Globular cluster,17h1m12.6s,-30d6m42s,6.4,22.2,Ophiuchus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Messier_object_062.jpg/500px-Messier_object_062.jpg
m63,Messier 63,NGC 5055,Sunflower Galaxy,Galaxy,13h15m49.0s,+42d1m59s,8.6,37000.0,Canes Venatici,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/M63s.jpg/500px-M63s.jpg
m64,Messier 64,NGC 4826,Black Eye Galaxy,Galaxy,12h56m43.8s,+21d40m59s,8.5,24000.0,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Blackeyegalaxy.jpg/500px-Blackeyegalaxy.jpg
m65,Messier 65,NGC 3623,Leo Triplet,Galaxy,11h18m55.6s,+13d5m27s,9.3,41500.0,Leo,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/M65.jpg/500px-M65.jpg
m66,Messier 66,NGC 3627,Leo Triplet,Galaxy,11h20m15.1s,+12d59m24s,8.9,36000.0,Leo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Phot-33c-03-fullres.jpg/500px-Phot-33c-03-fullres.jpg
