HATS-28 b,18h57m35.94s,-49d08m18.65s,13.981,3.181078,2.3544,1.770996,08/19/2021 00:58
HATS-29 b,19h00m23.16s,-54d53m36.03s,12.62,4.605875,3.2112,1.435443,08/18/2021 22:26
HATS-30 b,00h22m28.45s,-59d56m33.32s,12.283,3.174352,2.7504,1.295137,08/18/2021 21:52
HATS-31 b,12h46m48.68s,-24d25m38.60s,13.315,3.37796,4.5936,0.812223,08/19/2021 19:50
HATS-32 b,23h04m18.02s,-21d16m19.26s,14.386,2.812655,2.8536,1.368934,08/20/2021 18:57
HATS-34 b,00h03m05.88s,-62d28m09.54s,13.857,2.106161,1.5552,2.248489,08/20/2021 01:58
HATS-35 b,19h46m45.23s,-63d33m56.34s,12.609,1.820999,3.1176,1.102201,08/19/2021 02:44
HATS-36 b,19h25m54.89s,-23d12m10.15s,14.364,4.175239,3.4627,1.207371,08/21/2021 12:14
HATS-37 A b,13h19m12.44s,-22d59m12.64s,12.341,4.331537,2.9136,0.504216,08/22/2021 16:53
HATS-39 b,07h29m40.61s,-29d56m16.50s,12.745,4.577635,3.732,0.990613,08/21/2021 23:04
HATS-4 b,06h16m26.90s,-22d32m48.78s,13.516,2.516729,2.5272,1.284067,08/18/2021 12:21
HATS-40 b,06h42m17.10s,-29d46m36.41s,13.478,3.264274,5.3304,0.516141,08/20/2021 06:55
HATS-41 b,06h54m04.17s,-27d03m01.50s,12.678,4.193649,2.196,0.638825,08/19/2021 14:39
HATS-42 b,07h13m48.58s,-33d26m14.45s,13.682,2.292102,3.2664,0.944938,08/19/2021 06:47
HATS-43 b,05h22m09.18s,-30d58m14.94s,13.562,4.38885,2.9885,2.230092,08/22/2021 04:26
HATS-44 b,05h37m18.42s,-27d58m21.27s,14.397,2.7439,1.6512,1.675841,08/20/2021 18:30
HATS-45 b,06h47m58.62s,-21d54m38.56s,13.325,4.187624,3.0456,1.009953,08/22/2021 11:08
HATS-46 b,00h26m48.63s,-56d18m57.97s,13.783,4.742373,2.4336,1.183446,08/22/2021 14:27
HATS-47 b,19h09m56.26s,-49d39m53.79s,14.602,3.922804,2.0023,3.058018,08/21/2021 20:48
