C,NGC,Type,Mag,Size,Distance (ly),RA,Dec,Con,Viewing Season
87,1261,Gc,8.4,7,55500,03 12.3,-55 13,Hor,winter
88,5823,Oc,7.9,10,3400,15 05.7,-55 36,Cir,summer
89,6087,Oc,5.4,12,3300,16 18.9,-57 54,Nor,summer
90,2867,Pl,9.7,0.2,5500,09 21.4,-58 19,Car,spring
91,3532,Oc,3,55,1600,11 06.4,-58 40,Car,spring
92,3372,Bn,6.2,120x120,7500,10 43.8,-59 52,Car,spring
93,6752,Gc,5.4,20,13000,19 10.9,-59 59,Pav,summer
94,4755,Oc,4.2,10,4900,12 53.6,-60 20,Cru,spring
95,6025,Oc,5.1,12,2500,16 03.7,-60 30,TrA,summer
96,2516,Oc,3.8,30,1300,07 58.3,-60 52,Car,winter
97,3766,Oc,5.3,12,5800,11 36.1,-61 37,Cen,spring
98,4609,Oc,6.9,5,4200,12 42.3,-62 58,Cru,spring
99,-,Dn,-,400x300,610,12 53.0,-63 00,Cru,spring
100,IC 2944,Oc,4.5,15,6000,11 36.6,-63 02,Cen,spring
101,6744,Sb,9,16x10,34 million,19 09.8,-63 51,Pav,summer
102,IC 2602,Oc,1.9,50,492,10 43.2,-64 24,Car,spring
103,2070,Bn,1,40x25,170000,05 38.7,-69 06,Dor,winter
104,362,Gc,6.6,13,27700,01 03.2,-70 51,Tuc,autumn
105,4833,Gc,7.3,14,19600,12 59.6,-70 53,Mus,spring
106,104,Gc,4,31,14700,00 24.1,-72 05,Tuc,autumn
107,6101,Gc,9.3,11,49900,16 25.8,-72 12,Aps,summer
108,4372,Gc,7.8,19,18900,12 25.8,-72 40,Mus,spring
109,3195,Pl,11.6,40_35,5400,10 09.5,-80 52,Cha,spring
